SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
142078341,2015-04-11,"KNIFE, ANY IN PUBLIC VIEW",10-133C,Administrative Code,KNIFE,45-64,M,UNKNOWN,0,BRONX,46,1012619.0,253307.0,40.86190658,-73.8974409,POINT (-73.89744089799996 40.86190658200008),2015
155573958,2016-08-05,FAILURE TO COMPLY WITH SIGN,3-Jan,Park Regs,PARK REGS,18-24,M,WHITE HISPANIC,0,QUEENS,100,1035212.0,152992.0,40.58646553,-73.81652172,POINT (-73.81652172299994 40.58646552900007),2016
186016492,2018-08-03,UNREASONABLE NOISE; FROM ANY VEHICLE HORN,24-237(A),,,45-64,M,UNKNOWN,0,BRONX,41,1012029.0,236384.0,40.81545976,-73.89964397,POINT (-73.89964397 40.81545976),2018
169320526,2017-09-12,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BROOKLYN,90,994869.0,194280.0,40.69993233,-73.96170456,POINT (-73.96170456199997 40.69993233400004),2017
310468927,2025-07-30,UNREGISTERED VEHICLE,401,VTL,VTL,18-24,M,BLACK HISPANIC,0,BROOKLYN,84,988902.0,192641.0,40.69543881,-73.98322538,POINT (-73.9832253756043 40.6954388081238),2025
187763071,2018-09-18,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,65+,M,WHITE,0,NEW YORK,13,985710.0,207920.0,40.73737711,-73.99473307,POINT (-73.99473307 40.73737711),2018
145219091,2015-08-08,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,M,,0,BRONX,41,1015656.0,236156.0,40.81482182,-73.88654175,POINT (-73.88654175399995 40.814821817000045),2015
153100517,2016-05-13,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,65+,M,UNKNOWN,0,STATEN ISLAND,120,963395.0,164366.0,40.6178068,-74.07512141,POINT (-74.07512140799997 40.61780679700007),2016
244702609,2022-05-06,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,BLACK HISPANIC,0,MANHATTAN,33,1001891.0,245600.0,40.84078111,-73.93624538,POINT (-73.9362453818218 40.8407811088581),2022
152317397,2016-04-18,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,UNKNOWN,0,BROOKLYN,75,1013243.0,180031.0,40.66078096,-73.89550101,POINT (-73.89550100999998 40.66078096200005),2016
310919728,2025-08-08,RECKLESS DRIVING,1212,VTL,VTL,25-44,F,BLACK,0,BROOKLYN,75,1017036.0,183890.0,40.67135982,-73.88181102,POINT (-73.8818110231735 40.6713598203364),2025
228479146,2021-05-20,DISORDERLY CONDUCT,240.2,Penal Law,DISORDERLY CONDUCT,25-44,M,WHITE,0,MANHATTAN,18,1001679.0,230014.0,40.79800235,-73.93705205,POINT (-73.93705204499997 40.79800235300007),2021
219329959,2020-10-16,OTHER TRANSIT REG,9999,ABC,OTHER ABC,25-44,F,BLACK,1,MANHATTAN,14,986848.0,212883.0,40.75099905,-73.99062471,POINT (-73.99062471 40.75099905),2020
283059030,2024-03-01,PICK UP FROM BUS STOP,145-6,Tax Law,TLC,25-44,M,BLACK,0,QUEENS,100,1040864.0,155333.0,40.59284855,-73.79615177,POINT (-73.79615177366914 40.592848554855046),2024
262464542,2023-01-20,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE HISPANIC,2,BRONX,40,1010529.0,234574.0,40.81048812,-73.90506869,POINT (-73.90506869 40.81048812),2023
213444730,2020-05-23,"LICENSE, OPERATE WITH SUSPENDED/REVOKED/NONE",,,,25-44,M,WHITE HISPANIC,0,BRONX,44,1003968.0,239068.0,40.82284826,-73.92875813,POINT (-73.92875813 40.82284826),2020
153344705,2016-05-22,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,M,UNKNOWN,0,MANHATTAN,25,1000209.0,230356.0,40.79894383,-73.94236052,POINT (-73.94236052199994 40.798943827000066),2016
281167447,2024-01-26,MOTORCYCLE HELMET REQUIRED,381,VTL,VTL,18-24,M,BLACK,0,BRONX,52,1015195.0,254169.0,40.86425557,-73.88812267,POINT (-73.88812266604477 40.8642555662173),2024
250395146,2022-08-25,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),(null),(null),25-44,U,UNKNOWN,2,MANHATTAN,28,998115.0,230303.0,40.798794,-73.94992,POINT (-73.94992 40.798794),2022
158849062,2016-11-27,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,M,BLACK,0,BROOKLYN,73,1009519.0,180676.0,40.66256275,-73.90892112,POINT (-73.90892111899994 40.66256275400008),2016
185106767,2018-07-07,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,BLACK,0,QUEENS,101,1051917.0,160739.0,40.60761762,-73.75630099,POINT (-73.75630099 40.60761762),2018
158664973,2016-11-19,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,WHITE HISPANIC,0,BRONX,42,1010394.0,241356.0,40.82911148,-73.90553138,POINT (-73.90553137999996 40.829111480000044),2016
